department,page_url,number
지구과학교육과,https://earth.pusan.ac.kr/earth/1245/subview.do,426
지구과학교육과(취업),https://earth.pusan.ac.kr/earth/1700/subview.do,320
체육교육과(학부),https://physicaledu.pusan.ac.kr/physicaledu/7345/subview.do,330
여성연구소,https://women.pusan.ac.kr/women/37794/subview.do,164
국제교육개발협력전공,https://edc.pusan.ac.kr/edc/43177/subview.do,227
교육과미디어융합전공,https://edumedia.pusan.ac.kr/edumedia/5464/subview.do,71
기계기술연구원,https://rimt.pusan.ac.kr/rimt/39690/subview.do,33
나노반도체공정장비계약학과,https://u-spec.pusan.ac.kr/u-spec/71319/subview.do,51
교육대학원,https://gsedu.pusan.ac.kr/gsedu/12989/subview.do,513
치의학전문대학원,https://dent.pusan.ac.kr/newdent/11881/subview.do,737
치의학전문대학원(기타),https://dent.pusan.ac.kr/newdent/53492/subview.do,5
한의학전문대학원,https://kmed.pusan.ac.kr/kmed/11930/subview.do,525
한의학전문대학원(기타),https://kmed.pusan.ac.kr/kmed/11931/subview.do,44
한의학전문대학원(취업),https://kmed.pusan.ac.kr/kmed/11933/subview.do,26
약학과(학부),https://pharmacy.pusan.ac.kr/pharmacy/5754/subview.do,1909
약학과(대학원),https://pharmacy.pusan.ac.kr/pharmacy/5755/subview.do,379
간호학과(학부),https://nursing.pusan.ac.kr/nursing/14523/subview.do,1370
간호학과(대학원),https://nursing.pusan.ac.kr/nursing/14524/subview.do,2421
간호학과(취업),https://nursing.pusan.ac.kr/nursing/49322/subview.do,140
법학과일반대학원,https://collegeoflaw.pusan.ac.kr/collegeoflaw/4559/subview.do,1337
법학과일반대학원(자유),https://collegeoflaw.pusan.ac.kr/collegeoflaw/4560/subview.do,202
법학과일반대학원(취업),https://collegeoflaw.pusan.ac.kr/collegeoflaw/4561/subview.do,217
법학전문대학원,https://law.pusan.ac.kr/law/10741/subview.do,5016
법학전문대학원(취업),https://law.pusan.ac.kr/law/10745/subview.do,1477
